Id,Name,Host id,Host_identity_verified,Host name,Neighbourhood group,Neighbourhood,Lat,Long,Country,Country code,Instant_bookable,Cancellation_policy,Room type,Construction year,Price,Service fee,Minimum nights,Number of reviews
1060984,"Modern Brooklyn Apt., August sublet",38981444696,UNCONFIRMED,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,United States,US,0,strict,Entire home/apt,2017.0,589,$118 ,30.0,29.0
1061537,"1,800 sq foot in luxury building",18044628997,UNCONFIRMED,Emma,Manhattan,Harlem,40.8092,-73.94421,United States,US,1,flexible,Private room,2005.0,839,$168 ,2.0,170.0
1062089,Sunny 2-story Brooklyn townhouse w deck and garden,85201462079,VERIFIED,Alen,Brooklyn,Gowanus,40.68157,-73.98989,United States,US,0,strict,Entire home/apt,2011.0,528,$106 ,30.0,19.0
1062641,"Times Square, Safe, Clean and Cozy!",61210263217,UNCONFIRMED,Kevin,Manhattan,Hell's Kitchen,40.75527,-73.99291,United States,US,1,strict,Private room,2014.0,66,$13 ,2.0,334.0
1063194,"Cozy Room #3, Landmark Home 1 Block to PRATT",85719117699,UNCONFIRMED,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,United States,US,1,flexible,Private room,2014.0,761,$152 ,2.0,19.0
1063746,Beautiful Apartment East Village,95420528585,VERIFIED,Penelope,Manhattan,East Village,40.7288,-73.98192,United States,US,1,flexible,Entire home/apt,2007.0,523,$105 ,7.0,12.0
1069821,East Village Sanctuary,21125900343,UNCONFIRMED,Jasmine,Manhattan,East Village,40.72245,-73.98527,United States,US,1,flexible,Entire home/apt,2013.0,1105,$221 ,4.0,25.0
1070374,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,63113999922,VERIFIED,Robert,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,United States,US,1,moderate,Private room,2015.0,1109,$222 ,2.0,9.0
1070926,Modern Apt with Spectacular Views,96956465387,VERIFIED,Lucas,Brooklyn,Williamsburg,40.71923,-73.96468,United States,US,1,strict,Private room,2004.0,659,$132 ,1.0,9.0
1071478,Garden studio in the Upper East Sid,77172555024,UNCONFIRMED,Miller,Manhattan,Upper East Side,40.778,-73.94822,United States,US,0,strict,Entire home/apt,2007.0,571,$114 ,5.0,21.0
1072030,Secluded Master Bedroom in Beautiful Huge Apt,44493053522,VERIFIED,Dexter,Manhattan,Washington Heights,40.85879,-73.93128,United States,US,1,flexible,Private room,2010.0,736,$147 ,15.0,36.0
1072583,B & B Room 1,46312284523,VERIFIED,Darcy,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,United States,US,1,moderate,Private room,2013.0,946,$189 ,3.0,63.0
1073135,ACCOMMODATIONS GALORE #1,90525781448,UNCONFIRMED,Daniel,Manhattan,Harlem,40.81618,-73.94894,United States,US,1,flexible,Entire home/apt,2005.0,449,$90 ,3.0,155.0
1073687,Sunny Room in New Condo,35058485479,VERIFIED,Victoria,Brooklyn,Clinton Hill,40.68414,-73.96351,United States,US,0,moderate,Private room,2018.0,930,$186 ,3.0,260.0
1074240,Stylish & Sleek Apartment Near SoHo!,24559680874,VERIFIED,Brooke,Manhattan,East Village,40.72392,-73.99143,United States,US,0,strict,Entire home/apt,2006.0,329,$66 ,5.0,73.0
1074792,NYC artists’ loft with roof deck,48867545848,VERIFIED,Lilianna,Brooklyn,Greenpoint,40.73494,-73.9503,United States,US,0,flexible,Private room,2006.0,1125,$225 ,3.0,193.0
1077001,Sanctuary in East Flatbush,41763838164,UNCONFIRMED,Anna,Brooklyn,Flatlands,40.63188,-73.93248,United States,US,1,moderate,Private room,2020.0,96,$19 ,2.0,2.0
1083629,Cozy BR in Wiliamsburg 3 Bedroom,26995415534,VERIFIED,Bruce,Brooklyn,Williamsburg,40.71165,-73.96087,United States,US,0,moderate,Private room,2003.0,1133,$227 ,3.0,200.0
1084181,Sunny Room in Old Historical Brooklyn Townhouse,7020663711,UNCONFIRMED,Jessica,Brooklyn,Fort Greene,40.69101,-73.97312,United States,US,1,strict,Private room,2014.0,162,$32 ,8.0,27.0
1084733,Sun Filled Classic West Village Apt,45352858672,VERIFIED,Valeria,Manhattan,West Village,40.73474,-74.00101,United States,US,0,moderate,Private room,2009.0,944,$189 ,4.0,79.0
1085286,Lg Rm in Historic Prospect Heights,28372000134,UNCONFIRMED,Wilson,Brooklyn,Prospect Heights,40.67386,-73.96641,United States,US,1,moderate,Private room,2009.0,505,$101 ,15.0,9.0
1085838,Classic Artist Loft Williamsburg,85684057000,VERIFIED,Mike,Brooklyn,Williamsburg,40.71536,-73.96057,United States,US,1,strict,Private room,2009.0,113,$23 ,3.0,155.0
1086943,Private Bdrm/Bathrm. New! Elevator!,80380133240,UNCONFIRMED,Audrey,Manhattan,East Harlem,40.79295,-73.93997,United States,US,1,moderate,Private room,2022.0,370,$74 ,2.0,34.0
1091913,Luxurious Condo in DUBMO with View,20270952150,UNCONFIRMED,Edith,Brooklyn,DUMBO,40.70207,-73.98571,United States,US,1,strict,Private room,2016.0,385,$77 ,47.0,14.0
1092466,Charming & Cozy midtown loft any WEEK ENDS  !!!,3310140241,VERIFIED,Luke,Manhattan,Upper East Side,40.76123,-73.9642,United States,US,0,flexible,Entire home/apt,2021.0,950,$190 ,81.0,4.0
1093018,* Spacious GARDEN Park Slope Duplex* 6 people max,61571782497,VERIFIED,Nicole,Brooklyn,Gowanus,40.66858,-73.99083,United States,US,0,strict,Entire home/apt,2021.0,374,$75 ,144.0,80.0
1093570,Convenient cozy cheap apt Manhattan,29280666536,UNCONFIRMED,Agata,Manhattan,Harlem,40.82704,-73.94907,United States,US,0,flexible,Entire home/apt,2011.0,375,$75 ,371.0,2.0
1097989,Financial District Luxury Loft,57567873573,VERIFIED,Amy,Manhattan,Financial District,40.70666,-74.01374,United States,US,0,strict,Entire home/apt,2022.0,387,$77 ,268.0,114.0
1098541,BROOKLYN VICTORIAN STYLE SUITE.....,83631499592,UNCONFIRMED,Frederick,Brooklyn,Fort Greene,40.69098,-73.97113,United States,US,0,flexible,Private room,2008.0,1155,$231 ,-10.0,213.0
1099093,Your own Lovely West Village Studio,64716183027,VERIFIED,April,Manhattan,West Village,40.73756,-74.00405,United States,US,0,strict,Entire home/apt,2017.0,665,$133 ,189.0,86.0
1099645,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,13628045272,VERIFIED,Daniel,Manhattan,Harlem,40.81526,-73.94791,United States,US,1,strict,Entire home/apt,2013.0,175,$35 ,30.0,80.0
1100198,Greenwich Village Stylish Apartment,31589665723,UNCONFIRMED,Jared,Manhattan,West Village,40.73423,-74.0046,United States,US,1,strict,Entire home/apt,2012.0,408,$82 ,340.0,38.0
1100750,Clean and Cozy Harlem Apartment,42380667906,VERIFIED,Ashton,Manhattan,Harlem,40.82374,-73.9373,United States,US,0,strict,Entire home/apt,2019.0,601,$120 ,128.0,18.0
1101302,"Fort Greene, Brooklyn: Center Bedroom",9549678609,UNCONFIRMED,Adele,Brooklyn,Fort Greene,40.68863,-73.97691,United States,US,0,flexible,Private room,2011.0,107,$21 ,350.0,206.0
1101855,Beautiful Queens Brownstone! - 5BR,65716686884,UNCONFIRMED,Brad,Queens,Ridgewood,40.70382,-73.89797,United States,US,1,flexible,Entire home/apt,2011.0,724,$145 ,166.0,10.0
1102407,Couldn't Be Closer To Columbia Uni,44580630332,UNCONFIRMED,Bruce,Manhattan,Morningside Heights,40.80549,-73.95924,United States,US,0,strict,Private room,2019.0,450,$90 ,110.0,122.0
1103512,Park Slope haven 15 mins from Soho,36806839312,UNCONFIRMED,Kelsey,Brooklyn,Park Slope,40.67994,-73.97863,United States,US,0,strict,Entire home/apt,2015.0,327,$65 ,142.0,52.0
1104064,SAFE  AND BEAUTIFUL ACCOMODATION,93242543275,VERIFIED,Natalie,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,United States,US,0,strict,Private room,2015.0,946,$189 ,366.0,126.0
1119528,Spacious Williamsburg Share w/ LOFT BED,21636248705,VERIFIED,Perry,Brooklyn,Williamsburg,40.70979,-73.95162,United States,US,0,strict,Private room,2017.0,131,$26 ,4.0,82.0
1120081,Cozy 2 br in sunny Fort Greene apt,30191089894,UNCONFIRMED,Andrews,Brooklyn,Fort Greene,40.68656,-73.97525,United States,US,0,strict,Private room,2005.0,444,$89 ,3.0,37.0
1120633,Cozy East Village Railroad 1 Bed!,79861348248,VERIFIED,Cooper,Manhattan,East Village,40.72752,-73.98432,United States,US,0,strict,Entire home/apt,2010.0,1089,$218 ,1.0,204.0
1121185,1 Bedroom Loft w/ Private Roof Deck,11696098683,UNCONFIRMED,Foster,Brooklyn,Greenpoint,40.729,-73.95829,United States,US,1,strict,Entire home/apt,2017.0,518,$104 ,2.0,69.0
1121737,City Room - Private & Comfy Bedroom,38264908739,VERIFIED,Morrison,Manhattan,Harlem,40.81219,-73.94499,United States,US,1,strict,Private room,2010.0,220,$44 ,1.0,192.0
1122290,Elegant NYC Pad,49921339869,UNCONFIRMED,Bennett,Queens,Ditmars Steinway,40.77185,-73.90502,United States,US,1,moderate,Entire home/apt,2016.0,1133,$227 ,2.0,17.0
1122842,"Clean & bright 1BR in Cobble Hill, GREAT location!",38579657286,UNCONFIRMED,Baker,Brooklyn,Cobble Hill,40.68926,-73.99386,United States,US,1,strict,Entire home/apt,2021.0,316,$63 ,2.0,222.0
1123394,"Modern, Large East Village Loft",13467711251,UNCONFIRMED,Spencer,Manhattan,East Village,40.72821,-73.98701,United States,US,1,flexible,Entire home/apt,2015.0,396,$79 ,3.0,205.0
1123947,"Great new apt, close to everything",79638424542,VERIFIED,Ross,Manhattan,Hell's Kitchen,40.7672,-73.98508,United States,US,0,flexible,Entire home/apt,2020.0,813,$163 ,3.0,94.0
1124499,Quiet & Clean Retreat in the City,18399221085,UNCONFIRMED,Rogers,Manhattan,East Village,40.73012,-73.99053,United States,US,0,moderate,Entire home/apt,2017.0,111,$22 ,3.0,7.0
1125051,Stylish Large Gramercy Loft!,80178020812,UNCONFIRMED,Martin,Manhattan,Flatiron District,40.7403,-73.98498,United States,US,1,strict,Entire home/apt,2020.0,908,$182 ,2.0,108.0
1125604,The Brownstone-Luxury 1 Bd Apt/NYC,95734990661,VERIFIED,Dixon,Manhattan,Harlem,40.80931,-73.94343,United States,US,1,moderate,Entire home/apt,2008.0,823,$165 ,3.0,222.0
1126156,PRIVATE Room on Historic Sugar Hill,46480721644,UNCONFIRMED,Allen,Manhattan,Harlem,40.8251,-73.94287,United States,US,1,flexible,Private room,2011.0,186,$37 ,1.0,458.0
1126708,South Slope Green,20576025416,VERIFIED,Murphy,Brooklyn,Windsor Terrace,40.6585,-73.98397,United States,US,0,strict,Private room,2021.0,84,$17 ,2.0,21.0
1127260,"17 Flr. Manhattan Views, Nr. Subway",81471714501,UNCONFIRMED,Clark,Manhattan,Roosevelt Island,40.76193,-73.9501,United States,US,0,moderate,Private room,2018.0,241,$48 ,7.0,17.0
1127813,"Spacious 1BR, Adorable Clean Quiet",5961679794,VERIFIED,Montgomery,Manhattan,Lower East Side,40.72052,-73.98589,United States,US,0,strict,Entire home/apt,2017.0,54,$11 ,3.0,41.0
1128365,"Nice, clean, safe, convenient 3BR",41153188173,UNCONFIRMED,Fowler,Queens,Ridgewood,40.70411,-73.89934,United States,US,1,strict,Entire home/apt,2020.0,656,$131 ,14.0,1.0
1128917,Franklin St Flat in Trendy Greenpoint Brooklyn,25015494698,UNCONFIRMED,Payne,Brooklyn,Greenpoint,40.73401,-73.95967,United States,US,1,flexible,Entire home/apt,2018.0,509,$102 ,2.0,69.0
1129470,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",14920488865,UNCONFIRMED,Adams,Manhattan,Chinatown,40.71756,-73.99503,United States,US,0,flexible,Entire home/apt,2016.0,1198,$240 ,4.0,18.0
1132231,City Room - Private Luxury Suite,34228394206,VERIFIED,Clark,Manhattan,Harlem,40.8118,-73.94434,United States,US,1,moderate,Private room,2011.0,1127,$225 ,1.0,189.0
1135545,Huge Chelsea Loft,27743402115,VERIFIED,Thomas,Manhattan,Chelsea,40.74358,-74.00027,United States,US,0,flexible,Entire home/apt,2006.0,595,$119 ,2.0,35.0
1136097,Great room in great location,27437089550,UNCONFIRMED,Tucker,Manhattan,Harlem,40.80335,-73.9575,United States,US,0,moderate,Private room,2010.0,1076,$215 ,14.0,10.0
1136650,Exclusive Room with Private Bath in  LES,6670990373,UNCONFIRMED,Warren,Manhattan,Chinatown,40.71445,-73.9908,United States,US,0,strict,Private room,2008.0,956,$191 ,4.0,171.0
1137202,"Quiet, clean midtown apt w. elevato",56864395436,UNCONFIRMED,Taylor,Manhattan,Midtown,40.75749,-73.96897,United States,US,1,moderate,Entire home/apt,2015.0,81,$16 ,200.0,92.0
1137754,BK Sweet Suite w/Kitchen&FullBath,95787147567,UNCONFIRMED,Mason,Brooklyn,East Flatbush,40.64446,-73.9503,United States,US,1,strict,Entire home/apt,2011.0,472,$94 ,3.0,238.0
1138306,Great East Village Apartment Rental,68034176973,UNCONFIRMED,Hunt,Manhattan,East Village,40.7268,-73.99079,United States,US,1,moderate,Entire home/apt,2018.0,1058,$212 ,50.0,56.0
1142725,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,97374363906,VERIFIED,Richardson,Brooklyn,Williamsburg,40.70763,-73.95177,United States,US,0,moderate,Private room,2019.0,1164,$233 ,2.0,181.0
1143277,D Private Che@p Room 2 Explore NYC,60931330665,VERIFIED,Lloyd,Staten Island,Tompkinsville,40.63481,-74.08519,United States,US,0,moderate,Private room,2010.0,1032,$206 ,2.0,333.0
1143829,Safe cute near subway& Manhattan NY NY retro style,3323425751,UNCONFIRMED,Perry,Queens,Astoria,40.75384,-73.91433,United States,US,1,flexible,Entire home/apt,2005.0,545,$109 ,5.0,441.0
1144382,Large and Cozy Private Bedroom,87014850347,UNCONFIRMED,Richardson,Brooklyn,Kensington,40.64106,-73.97426,United States,US,0,flexible,Private room,2013.0,786,$157 ,1.0,45.0
1144934,Small tidy bedroom in duplex,40815560652,UNCONFIRMED,Brown,Brooklyn,Park Slope,40.66793,-73.98327,United States,US,0,flexible,Private room,2018.0,114,$23 ,14.0,9.0
1145486,LL3,21787820811,VERIFIED,Foster,Bronx,Clason Point,40.81309,-73.85514,United States,US,1,moderate,Private room,2005.0,643,$129 ,2.0,0.0
1146591,"Private, Large & Sunny Top Floor Apt  w/W&D",4292764830,VERIFIED,Reed,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,United States,US,0,flexible,Entire home/apt,2007.0,841,$168 ,399.0,248.0
1147143,Cottage in the Village,65603422910,VERIFIED,Lloyd,Manhattan,East Village,40.72185,-73.98246,United States,US,1,moderate,Entire home/apt,2019.0,73,$15 ,5.0,143.0
1147696,BEDROOM1 FOR RENT 10min from Manhan,20568220502,UNCONFIRMED,Tucker,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,United States,US,1,strict,Private room,2019.0,1143,$229 ,3.0,36.0
1152114,Amazing  Sunny & Breezy Home In the Heart of  NYC,93362038010,VERIFIED,Mitchell,Manhattan,Little Italy,40.71702,-73.99811,United States,US,0,strict,Entire home/apt,2008.0,895,$179 ,14.0,1.0
1152666,ENJOY Downtown NYC!!,7784280062,VERIFIED,Gibson,Manhattan,East Village,40.72321,-73.98157,United States,US,1,moderate,Private room,2010.0,426,$85 ,2.0,203.0
1153219,Charming UWS Treehouse Apt,37061887763,VERIFIED,Owens,Manhattan,Upper West Side,40.77956,-73.98098,United States,US,0,strict,Entire home/apt,2022.0,1127,$225 ,2.0,210.0
1153771,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,11267838049,UNCONFIRMED,Miller,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,United States,US,1,strict,Private room,2015.0,368,$74 ,5.0,64.0
1154323,"Room in S3rd/Bedford, Williamsburg",82126050175,UNCONFIRMED,Smith,Brooklyn,Williamsburg,40.71368,-73.9626,United States,US,0,flexible,Private room,2016.0,679,$136 ,3.0,0.0
1154875,CHARMING EAST VILLAGE 2 (or 1) BR,18425219763,UNCONFIRMED,Chapman,Manhattan,East Village,40.72956,-73.98158,United States,US,0,moderate,Entire home/apt,2012.0,850,$170 ,7.0,5.0
1155428,Farmhouse Apartment in Williamsburg,29306345588,UNCONFIRMED,Owens,Brooklyn,Williamsburg,40.71069,-73.95175,United States,US,1,moderate,Entire home/apt,2006.0,1003,$201 ,10.0,49.0
1165369,Prewar Penthouse w Private Terrace,5813584967,VERIFIED,Harris,Manhattan,Upper West Side,40.78971,-73.9729,United States,US,0,strict,Entire home/apt,2010.0,544,$109 ,11.0,30.0
1165921,Designer 2.5 BR Loft in Carroll Gardens by Subway,70108456652,VERIFIED,Ryan,Brooklyn,Carroll Gardens,40.67817,-73.99495,United States,US,1,flexible,Entire home/apt,2015.0,523,$105 ,2.0,106.0
1166474,Bright Beautiful Brooklyn,66810551515,UNCONFIRMED,Russell,Brooklyn,Greenpoint,40.73119,-73.95578,United States,US,0,strict,Private room,2011.0,614,$123 ,452.0,6.0
1167026,Unique spacious loft on the Bowery,22374277894,VERIFIED,Farrell,Manhattan,Little Italy,40.71943,-73.99627,United States,US,1,moderate,Entire home/apt,2013.0,178,$36 ,2.0,191.0
1167578,"Nice renovated apt, prime location!",74507894043,VERIFIED,Jones,Manhattan,Upper West Side,40.78,-73.98249,United States,US,0,moderate,Entire home/apt,2008.0,61,$12 ,30.0,48.0
1168131,Brooklyn Writer's Nook,55936255796,UNCONFIRMED,Morrison,Brooklyn,Bushwick,40.70514,-73.91922,United States,US,1,strict,Private room,2019.0,901,$180 ,5.0,47.0
1168683,Private Bedroom in Large NYC Apartment,6985874676,UNCONFIRMED,Robinson,Manhattan,Inwood,40.86713,-73.92811,United States,US,1,moderate,Private room,2012.0,1189,$238 ,2.0,120.0
1169235,"Large, Sunny Room East Village NYC",56474437179,UNCONFIRMED,Elliott,Manhattan,East Village,40.73198,-73.98881,United States,US,0,strict,Private room,2008.0,783,$157 ,3.0,52.0
1169788,Great Large 3 BR/2 Bath Duplex with Private Patio!,62372364631,VERIFIED,Morrison,Manhattan,East Village,40.72542,-73.97986,United States,US,1,strict,Entire home/apt,2009.0,69,$14 ,2.0,48.0
1171997,Gigantic Private Brooklyn Loft!,69516552829,UNCONFIRMED,Moore,Brooklyn,Greenpoint,40.72898,-73.95552,United States,US,1,moderate,Entire home/apt,2003.0,784,$157 ,1.0,50.0
1172549,Condo Apartment with laundry in unit,67156618342,VERIFIED,Douglas,Bronx,Kingsbridge,40.87207,-73.90193,United States,US,0,strict,Entire home/apt,2009.0,55,$11 ,30.0,4.0
1173101,1BR: See Central Park from Terrace!,948625792,VERIFIED,Howard,Manhattan,Upper West Side,40.77728,-73.97818,United States,US,0,moderate,Entire home/apt,2008.0,989,$198 ,13.0,38.0
1173654,Private room in cozy Greenpoint,22329339249,VERIFIED,Hill,Brooklyn,Greenpoint,40.72646,-73.95341,United States,US,0,flexible,Private room,2004.0,1029,$206 ,3.0,29.0
1174206,Food & Music Dream Apartment in Williamsburg,46265383607,VERIFIED,Chapman,Brooklyn,Williamsburg,40.71015,-73.96101,United States,US,0,strict,Entire home/apt,2015.0,291,$58 ,4.0,59.0
1174758,French Garden cottage off Bedford,12636519384,VERIFIED,Reed,Brooklyn,Williamsburg,40.71903,-73.9597,United States,US,0,flexible,Entire home/apt,2005.0,787,$157 ,1.0,68.0
1175863,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,44227072273,UNCONFIRMED,Henderson,Manhattan,Harlem,40.80276,-73.9567,United States,US,1,moderate,Entire home/apt,2007.0,725,$145 ,14.0,31.0
